Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2168.8332;5422.0832;"Hey, wow. Das ist ja wirklich der Hammer."
2;5505.4999;8466.7916;"-Nicht wahr, Pikachu?
-Pikachu!"
3;8550.2082;9676.3332;"[lacht]"
4;10927.5832;14848.1666;"[Erzähler]
Mele-Mele, eine Insel der Alola-Region."
5;14931.5832;20562.2082;"Ash und Pikachu machen dort Ferien
und haben jede Menge Spaß."
6;20645.625;21688.3332;"[Ash]
Okay."
7;21771.7499;25442.0832;"-Jetzt gib mal Vollgas, Tohaido.
-Tohaido."
8;35910.875;37078.7082;"[gurgelt]"
9;41624.9166;44377.6666;"-[keucht]
-Pika."
10;51176.1249;54262.5416;"[keucht]"
11;54345.9582;58224.8332;"-[brüllt]
-[schreit]"
12;58308.25;60769.0416;"[Ash keucht]"
13;63188.125;68526.7916;"-Pika.
-[keucht]"
14;68610.2082;70028.2916;"Bin wieder da."
15;70111.7082;72280.5416;"[kichern]"
16;72363.9582;74032.2916;"[beide kichern]"
17;74115.7082;77911.1666;"[kichert]"
18;82082;84667.9166;"{\an8}♪ An diese Sonne
Gewöhn ich mich gern ♪"
19;84751.3332;88963.8749;"{\an8}♪ Mir sind leider die Tage zu kurz
Wie ich merke ♪"
20;89047.2916;91424.6666;"{\an8}♪ Tag für Tag
Wächst meine Stärke ♪"
21;91508.0832;94969.8749;"{\an8}♪ Yeah! Weil wir auf Sonnenschein stehen ♪"
22;95053.2916;98264.8332;"{\an8}♪ Haben wir Spaß hier
Und keiner muss alleine sein ♪"
23;98348.2499;101100.9999;"{\an8}♪ Yeah! Es gibt so viel zu sehen ♪"
24;101184.4166;104521.0832;"{\an8}♪ Freunde für immer
Wir wollen die Nummer eins sein ♪"
25;104604.4999;106981.8749;"♪ Alola ist wunderschön
Pokémon! ♪"
26;112195.4166;115156.7082;"[Ash]
ALOLA, NEUE ABENTEUER."
27;118993.875;121204.4166;"Der berühmte Pokémon-Jetski."
28;121287.8332;124958.1666;"-Wie war's?
-Echt klasse. Es machte super Spaß."
29;125041.5832;127710.9166;"Das freut mich. Komm gerne wieder."
30;127794.3332;131089.2916;"Ja, gern. Danke, Tohaido."
31;131172.7082;134300.8332;"-Pika, pika!
-Tohaido."
32;134384.25;140056.5832;"Kokowei."
33;143393.25;146062.5832;"[schnüffelt]"
34;147147;149107.2916;"[schnurrt]"
35;149190.7082;152068.5832;"[gähnt]"
36;156030.875;158575.0832;"-Mich schlägst du nicht.
-Pikachu."
37;159409.25;162912.75;"-Pika! Pika!
-[keucht]"
38;162996.1666;165248.4166;"[stöhnt]"
39;165331.8332;167000.1666;"[keucht] Tschuldige."
40;168585.0832;171212.7082;"-[brüllt]
-Oh, Mann."
41;171296.1249;175717.2082;"Pika. Pika?"
42;178428.2499;181055.8749;"Blaues Wasser. Schäfchenwolken."
43;181598.0832;184976.4582;"Und köstlicher Sananasaft."
44;187103.5832;190773.9166;"[seufzt] Wie herrlich erfrischend."
45;190857.3332;192734.2082;"Pantimos. Mos."
46;192817.6249;194903.0416;"Hey, Mama. Bin wieder da."
47;194986.4582;197572.3749;"-Hattet ihr Spaß?
-Klar doch."
48;197655.7916;199699.4999;"Wir waren tauchen."
49;199782.9166;203286.4166;"Ich hab ganz viele neue Pokémon gesehen."
50;203369.8332;204954.7499;"-Ja!
-Pika! Pika!"
51;205038.1666;206664.7916;"Das klingt lustig!"
52;207457.2499;211502.9582;"Wir müssen Pantimi
für diese tolle Reise danken."
53;211586.3749;215006.4582;"-Vielen Dank, Pantimi.
-Pantimos. Mos."
54;216549.6666;218635.0832;"-[jubeln]
-[Delia] Hier."
55;218718.5;219802.9166;"Kein Problem."
56;224182.2916;225099.875;"[jubeln]"
57;226392.8332;228436.5416;"Sollen wir losgehen?"
58;228519.9582;232732.5;"-Wohin denn, Mama?
-Zum Cousin von Professor Eich."
59;232815.9166;233942.0416;"Ich vergaß."
60;238196.2916;240406.8332;"Gut. So müsste es klappen."
61;240490.25;244702.7916;"Ich war schon besorgt,
wie ich es zu meinem Cousin in"
62;244786.2082;247914.3332;"-die Alola-Region bringe.
-Ein Riesenei."
63;247997.75;249499.25;"Welches ist es?"
64;249582.6666;252502.25;"Da musst du warten,
bis es schlüpft."
65;252585.6666;254545.9582;"Wir machen das gerne."
66;257924.3332;260093.1666;"-[Ash lacht]
-Panti."
67;260176.5832;262428.8332;"Ein Pokémon-Taxi."
68;262512.25;265098.1666;"Das ist genialer als genial."
69;265181.5832;266474.5416;"[Tauros muht]"
70;266557.9582;269727.7916;"Wir setzen hier die Kraft
der Pokémon ein,"
71;269811.2082;271813.2082;"um von A nach B zu kommen."
72;271896.625;274899.625;"Diese Pokémon nennen wir
das Pokémobil."
73;274983.0416;277986.0416;"An Land nimmt man ein Landpokémobil,"
74;278069.4582;281990.0416;"in der Luft ein Luftmobil,
im Wasser ein Wassermobil."
75;282073.4582;285410.125;"Das Tohaido war
ein Wassermobil-Pokémon."
76;285493.5416;288997.0416;"Du hast hier wohl schon
einiges ausprobiert."
77;289080.4582;291666.375;"Wo bringen wir denn das Ei hin?"
78;291749.7916;294294;"Zur sogenannten Pokémon-Schule."
79;294377.4166;297297;"-Pokémon-Schule?
-Interessant, nicht?"
80;297380.4166;299257.2916;"-Panti.
-Ja."
81;299340.7082;301092.4582;"Pantimos. Mos."
82;301592.9582;304012.0416;"Seht nur die köstlichen Beeren."
83;304095.4582;306222.5832;"Vielleicht kauf ich welche."
84;306306;310101.4582;"Die Beeren da sind immer frisch
und sehr köstlich."
85;310184.875;311769.7916;"Großartig."
86;313187.875;316649.6666;"Da fällt einem die Entscheidung schwer."
87;316733.0832;319736.0832;"-[Ash kichert]
-Pika."
88;321404.4166;324574.25;"-Mabula!
-Pika!"
89;325074.75;327201.875;"Das ist ein Pokémon. Cool!"
90;327285.2916;329329;"Wie es wohl heißt?"
91;329412.4166;334250.5832;"[stöhnt]"
92;337086.7499;340381.7082;"-Los, Pikachu, das fangen wir uns.
-Pika!"
93;340465.1249;342884.2082;"[Ash keucht]"
94;342967.6249;345511.8332;"[riecht]"
95;345595.2499;348181.1666;"Ash, sieh mal."
96;348264.5832;350558.5416;"[Pokémon] Pantimos?"
97;353186.1666;354687.6666;"[keucht]"
98;354771.0832;356064.0416;"Nicht so schnell!"
99;356147.4582;358983.6249;"Pika!"
100;366449.4166;368534.8332;"[keucht]"
101;368618.2499;370495.1249;"[brummt]"
102;371662.9582;373331.2916;"Wo ist es nur hin?"
103;374290.5832;375958.9166;"-[Ash keucht]
-Pika?"
104;379629.2499;381714.6666;"Hm? Wo sind wir?"
105;382799.0832;384342.2916;"-Komisch.
-Pika."
106;384425.7082;388721.6666;"Es ist wohl weg. Super ärgerlich."
107;388805.0832;391724.6666;"[Ash]
Wo sollten wir das Ei hinbringen?"
108;393309.5832;395728.6666;"[Kosturso jammert]"
109;396979.9166;399482.4166;"Das ist ein Pokémon."
110;403236.1666;404904.4999;"-Sieh mal, da!
-Pika."
111;406531.1249;409283.8749;"[Kosturso fiept]
[Ash lacht]"
112;409367.2916;412286.8749;"Sieh mal, es winkt uns."
113;412995.9166;414664.2499;"Du bist ja echt süß."
114;414747.6666;417125.0416;"[fiept]"
115;418376.2916;420545.1249;"-[Ash stöhnt]
-Pika."
116;421379.2916;422672.2499;"[schreit]"
117;424048.6249;425633.5416;"-Oh, oh.
-Pika."
118;425716.9582;427009.9166;"[stampft]"
119;427093.3332;430972.2082;"[schreit]"
120;431055.625;434100.3332;"[schreit und keucht]"
121;434183.75;436144.0416;"[schreit]"
122;436227.4582;438646.5416;"[keucht]"
123;438729.9582;441149.0416;"[schreit]"
124;446195.75;447989.2082;"[fiept]"
125;448614.8332;451659.5416;"[keucht]"
126;451742.9582;453244.4582;"Was war denn das?"
127;454662.5416;455913.7916;"-[seufzt]
-Pika."
128;455997.2082;459000.2082;"Was ist das?"
129;459083.625;461627.8332;"Ein Glurak? Ein Luftpokémobil."
130;461711.25;465840.375;"Pikachu, dem folgen wir, okay?"
131;465923.7916;467758.9582;"Pika!"
132;467842.375;470761.9582;"[Ash keucht]"
133;473222.75;477977.5;"[Kinderstimmen]"
134;478060.9166;480480;"[Kinderstimmen]"
135;480563.4166;482773.9582;"-[staunt]
-Pika."
136;485860.375;487737.25;"[Ash lacht]"
137;487820.6666;489989.5;"Sind das viele Pokémon."
138;490072.9166;492700.5416;"-Oh nein, Vorsicht!
-Hm?"
139;492783.9582;494827.6666;"[Tauros grunzen]"
140;494911.0832;496954.7916;"[Ash schreit]"
141;497038.2082;499957.7916;"Stopp! Hast du keine Augen im Kopf?"
142;500041.2082;502418.5832;"[stöhnt]"
143;502502;507173.3332;"-Hast du dich verletzt?
-Nein, alles okay."
144;507256.75;509967.7916;"Ich verstehe mich gut mit Tauros."
145;510051.2082;512011.5;"Ich fing schon welche."
146;512094.9166;514472.2916;"[kreischt]"
147;514555.7082;517225.0416;"-Pika?
-[schreit]"
148;517308.4582;520353.1666;"Hast du etwa Angst vor Pokémon?"
149;520436.5832;523731.5416;"Nein, ich liebe Pokémon."
150;524273.75;526359.1666;"Ich habe nur keine Lust."
151;526442.5832;528110.9166;"Tut mir sehr leid."
152;528194.3332;532114.9166;"Du kamst schnell,
ich konnte nicht mehr stoppen."
153;532198.3332;534742.5416;"Lilly kann keine Pokémon berühren."
154;534825.9582;537161.625;"Doch. Theoretisch."
155;537245.0416;539747.5416;"Wenn ich will. Tu ich aber nicht."
156;539830.9582;541207.3332;"Kein Problem."
157;541290.75;544919.375;"Sei nicht frustriert.
Irgendwann klappt es."
158;545336.4582;547922.375;"-Ja, richtig.
-[Ash keucht]"
159;548005.7916;550800.25;"-[Ash] Dich sah ich beim Angeln.
-Ja."
160;551634.4166;554512.2916;"-Kennst du den Jungen?
-Ich bin Ash."
161;554595.7082;557223.3332;"Ich komme aus Alabastia in Kanto."
162;557306.75;561060.5;"Das ist mein guter Kumpel Pikachu.
Hallo zusammen."
163;561143.9166;562687.125;"Pika, pika!"
164;562770.5416;565273.0416;"Was ist das hier?"
165;565982.0832;567942.375;"[Maho]
Die Pokémon-Schule."
166;568025.7916;569986.0832;"Davon habe ich gehört."
167;570653.4166;572488.5832;"Das ist sie."
168;572572;575950.375;"-Du scheinst dich verlaufen zu haben.
-Ja."
